sector,ticker_a,ticker_b,beta,n_rows,n_events,label_mean,best_threshold,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_auc,trade_count,trade_win_rate,avg_pnl_proxy,total_pnl_proxy,max_drawdown_proxy,validation_start_date,test_start_date
Consumer_Disc,TSLA,LULU,2.5187198720344397,1572,776,0.3324742317199707,0.47000000000000003,0.5825453112687156,0.3525641025641026,0.47515751575157517,0.49246231155778897,0.5189918991899191,153,0.5816993464052288,0.04774855592515735,7.305529056549075,2.251599533081044,2023-11-29,2025-02-19
Communications,CHTR,WBD,0.4841588448762473,1572,823,0.33778858184814453,0.45,0.3950325251330573,0.5757575757575758,0.4738039083557951,0.2222222222222222,0.3921832884097035,148,0.6216216216216216,0.03415149853680585,5.054421783447266,0.9924492778778076,2023-11-01,2025-01-28
Consumer_Disc,LOW,LULU,1.0828712809142915,1572,822,0.3527980446815491,0.5,0.46499426135432037,0.41818181818181815,0.6128263572316619,0.43529411764705883,0.4985495234148363,132,0.6515151515151515,0.026474270190817842,3.494603665187955,0.3487595306634923,2023-10-20,2025-01-30
Healthcare,LLY,UNH,1.5492388466665767,1572,837,0.3405017852783203,0.48000000000000004,0.5099789915966386,0.38095238095238093,0.5247054686126253,0.43478260869565216,0.6426059433796377,163,0.5644171779141104,0.019566226186927847,3.189294868469239,2.2936009159088133,2024-01-08,2025-02-19
Industrials,CAT,HON,1.4597414515137848,1572,793,0.36948296427726746,0.45,0.6255201109570041,0.44654088050314467,0.39834881320949433,0.22807017543859648,0.28190574475404195,159,0.6981132075471698,0.01838560124163358,2.9233105974197393,0.7097887878417961,2023-12-27,2025-02-21
Tech,ADBE,AMD,0.5217781483741946,1572,872,0.31307339668273926,0.45,0.752529735487307,0.36,0.402,0.30864197530864196,0.41424,150,0.5933333333333334,0.01820872974395752,2.731309461593628,0.569183742523192,2023-12-15,2025-02-13
Tech,ADBE,INTC,0.40666503116685754,1572,865,0.32947975397109985,0.45,0.6679245283018868,0.3236994219653179,0.5282258064516129,0.4558139534883721,0.6436800526662277,173,0.5375722543352601,0.013102553075448626,2.2667416820526123,0.601220264434814,2023-12-27,2025-03-13
Industrials,CAT,ITW,1.6733608600782734,1572,798,0.36591479182243347,0.45,0.5007272727272728,0.3125,0.45113914517040105,0.40217391304347827,0.44247787610619466,159,0.660377358490566,0.013686428777826661,2.176142175674439,0.5664934997558579,2024-02-05,2025-03-07
Tech,AAPL,AMD,0.8052248080290496,1572,833,0.33973589539527893,0.47000000000000003,0.6149350649350649,0.5808383233532934,0.5194327731092436,0.33962264150943394,0.5269607843137255,138,0.6739130434782609,0.014629113974778549,2.0188177285194397,0.8915603046417223,2024-01-02,2025-02-20
Tech,ADBE,TXN,0.5757596465400487,1572,867,0.29873126745224,0.45,0.6237847222222221,0.39655172413793105,0.4555555555555556,0.38596491228070173,0.4637345679012345,152,0.5723684210526315,0.012579724813762464,1.9121181716918945,0.7470378398895259,2023-12-20,2025-02-10
Communications,NFLX,CHTR,0.8745307793516741,1572,830,0.28554216027259827,0.46,0.6007346189164371,0.7048192771084337,0.5044698730556052,0.07547169811320754,0.5535490792061505,129,0.5426356589147286,0.014291581102997938,1.843613962286734,1.1964604784250246,2023-11-10,2025-01-27
Financials,MS,V,2.5007957088135546,1572,822,0.38929441571235657,0.5700000000000001,0.5139423076923076,0.3212121212121212,0.4818181818181818,0.48623853211009177,0.4254545454545454,63,0.6349206349206349,0.027942140609499014,1.7603548583984379,0.25480598449707004,2023-12-19,2025-02-11
Consumer_Disc,LULU,SONO,0.23812685842117912,1572,824,0.31553396582603455,0.46,0.48537037037037034,0.4666666666666667,0.5635732553891122,0.45,0.6202046035805627,146,0.5958904109589042,0.011915490738333088,1.739661647796631,0.9166473655700667,2023-11-10,2025-01-31
Tech,NVDA,ADBE,1.1786537388808516,1572,835,0.3221556842327118,0.5,0.6547921967769296,0.5748502994011976,0.6520715630885122,0.6033519553072626,0.745291902071563,120,0.5583333333333333,0.014418453494707741,1.730214419364929,0.8194396438598629,2024-01-19,2025-01-30
Healthcare,ISRG,HCA,0.49992537107319496,1572,791,0.4045512080192566,0.6000000000000001,0.5686403149089716,0.41509433962264153,0.520618556701031,0.5714285714285714,0.5352510808114399,88,0.7045454545454546,0.01921814307299527,1.6911965904235837,0.30701009559631287,2023-11-07,2025-01-06
Communications,NFLX,CMCSA,1.3372885532305832,1572,820,0.31951218843460083,0.47000000000000003,0.635016835016835,0.25609756097560976,0.512,0.39,0.5614358974358975,164,0.5182926829268293,0.00948152254671767,1.554969697661698,0.942423455283045,2024-01-02,2025-03-10
Consumer_Staples,GIS,HSY,0.6594997531318232,1572,783,0.38314175605773926,0.46,0.6470588235294117,0.3503184713375796,0.47114035087719297,0.5048543689320388,0.4221052631578947,153,0.6339869281045751,0.009749393365157196,1.491657184869051,0.41411465716361906,2023-12-19,2025-02-03
Consumer_Disc,TSLA,LOW,2.1541241326342377,1572,824,0.35922330617904663,0.45,0.37640000000000007,0.38181818181818183,0.42,0.43333333333333335,0.4444615384615385,156,0.5576923076923077,0.009380487735454853,1.4633560867309572,1.9299842567443835,2023-12-14,2025-02-05
Communications,PSKY,WBD,0.7678921817678639,1572,816,0.3762255012989044,0.45,0.4732766474339508,0.4146341463414634,0.5483255249002256,0.48936170212765956,0.5878882526461912,145,0.496551724137931,0.009681395613170904,1.403802363909781,1.0654624788761138,2023-12-11,2025-04-14
Financials,JPM,BRK-A,0.7687687929278627,1572,827,0.349455863237381,0.45,0.639538661468486,0.6204819277108434,0.5690251572327044,0.42201834862385323,0.6830188679245283,137,0.635036496350365,0.01018890007743,1.3958793106079102,0.3077292327880845,2024-01-04,2025-03-12
Consumer_Disc,NKE,SONO,0.4094279102348845,1572,824,0.35922330617904663,0.49000000000000005,0.44299788881069674,0.48484848484848486,0.48711340206185566,0.4444444444444444,0.4899939357186174,110,0.6,0.01255705634030429,1.381276197433472,0.41489635276794345,2023-12-14,2025-01-29
