,NEE,SO,SRE,DUK,XEL,D,CNP,PEG,AEP,EXC,COST,PEP,CL,HSY,MKC,PG,KO,KMB,GIS,WMT,AXP,GS,JPM,MS,BAC,V,BLK,BRK-A,MA,C,HON,CAT,UNP,GE,ITW,LMT,RTX,MMM,FDX,BA,ADBE,INTC,AMD,AAPL,PYPL,MSFT,GOOG,TXN,ORCL,NVDA,FANG,EOG,LNG,OXY,HAL,SLB,COP,DVN,XOM,CVX,AMT,PLD,EQIX,SPG,O,AVB,WELL,VICI,DLR,EQR,CHTR,T,NFLX,META,TMUS,CMCSA,VZ,DIS,FOXA,UNH,PFE,GILD,ABBV,ISRG,HCA,LLY,MRK,AMGN,JNJ,LULU,TSLA,TGT,MCD,SONO,LOW,TJX,SBUX,HD,NKE
NEE,0.0,0.594925491710825,0.0,0.5122135242288013,0.0,0.0,0.0,0.0,0.0,0.5199277276713897,0.5459031809022273,0.5025834837708305,0.0,0.5065027046175554,0.0,0.0,0.5211645725582358,0.0,0.0,0.0,0.5211118710587134,0.0,0.0,0.0,0.0,0.5532584566751383,0.0,0.0,0.5334666272488097,0.0,0.0,0.0,0.0,0.5012643259287443,0.5093041279437535,0.6282652239070432,0.0,0.0,0.5335281244652623,0.0,0.5755739435643619,0.5302084812608207,0.5402497384240769,0.628049371003341,0.0,0.63425734728686,0.5679512490377866,0.0,0.5957052211422111,0.6664063629012376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183648148466311,0.6072524397776393,0.607969121659759,0.6013942254523207,0.5030420825753054,0.546073628380173,0.6283831824777372,0.0,0.0,0.6503476417335993,0.5947078490075359,0.0,0.0,0.5349135438631117,0.5617436220425451,0.5080507947537233,0.538536931091199,0.0,0.0,0.0,0.6296431770560055,0.0,0.0,0.0,0.0,0.0,0.5054440053070859,0.0,0.5570383127928141,0.595319304169861,0.0,0.0,0.6238825326369656,0.0,0.5313138590333262,0.0,0.5179555628070531,0.0,0.5299283956444322,0.0
SO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5029571189795775,0.0,0.0,0.5300143747697548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174095149592838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006961043664565,0.0,0.5256935020213419,0.0,0.5444279214773952,0.0,0.5596673853556513,0.6000031641133174,0.0,0.0,0.5267725393465549,0.5271431982033157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5618631975367543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5062388054338671,0.0,0.0,0.0
SRE,0.5579217241245032,0.6431733798070464,0.0,0.5984403871493458,0.5543317989922456,0.5650459340197191,0.5713175953094415,0.6276606832031513,0.5447164060196139,0.6213137283317297,0.5651036536800658,0.5112387581977431,0.5529192355428658,0.6618260898312298,0.0,0.5009046975820702,0.0,0.5305686973051567,0.5153117358141132,0.0,0.5287992444939746,0.0,0.0,0.0,0.5126907566074795,0.5617224977065847,0.0,0.5210505263560217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5965029491961746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217600451384677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538511627467659,0.5946458116580414,0.6653443208505733,0.5462175439273315,0.6499224208858754,0.5538908175488401,0.6714914204390967,0.6426454972625736,0.5282938305552338,0.5965195747678501,0.5762198392842011,0.6288276178176647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6123778056347803,0.5646039895680953,0.0,0.0,0.0,0.0,0.5362350743458368,0.0,0.5065662722748953,0.0,0.5891023322303048,0.0,0.5065304048473013,0.5162035172610281,0.5275934365101916,0.0,0.0,0.5666607673768081,0.0,0.5311478507778934,0.0
DUK,0.0,0.5473969057665546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144041448414046,0.0,0.0,0.0,0.5248363748519668,0.0,0.0,0.0,0.0,0.0,0.0,0.5135704794428197,0.0,0.0,0.0,0.0,0.5105023489182711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5112445897032081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5016512324467471,0.0,0.0,0.0,0.5053380081064468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5558933308440122,0.5151467387372002,0.5746784507287895,0.500104874711513,0.5812227248433465,0.0,0.5833272877089922,0.5895088721112238,0.0,0.0,0.5482547840164201,0.5329729334904288,0.0,0.0,0.5278333521266018,0.0,0.0,0.0,0.0,0.0,0.0,0.5591099884531598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5089221367943643,0.0,0.0,0.0
XEL,0.505977193642522,0.6244675851901353,0.0,0.5543109307662828,0.0,0.0,0.5395865670755119,0.0,0.5228611411364882,0.569561185047118,0.5100773881916356,0.0,0.5164617928519948,0.598088883252978,0.5548982719749693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528855372740143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078552954567996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532573502408347,0.0,0.0,0.5854179618223846,0.5414374840247066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826478972785124,0.5079097158481026,0.6426884960174182,0.5446471203146194,0.6102998978900744,0.0,0.5928846825268874,0.6219897277407527,0.0,0.0,0.638703560415926,0.585027780532042,0.0,0.0,0.5846401097932376,0.5313579668967497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946230195645529,0.0,0.5543687623688857,0.0,0.0,0.5142158677065239,0.0,0.0,0.0,0.5243444113832435,0.0,0.5350516773314863,0.0
D,0.6234026974704008,0.6618376154368579,0.0,0.6181072733174713,0.5500944456694449,0.0,0.5275708239419129,0.5615048127842686,0.5477631993369896,0.5733360424923835,0.5307579896993174,0.0,0.5316366833406356,0.5744705621437849,0.0,0.0,0.0,0.5138933333939785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5040968707527048,0.0,0.5019761033324133,0.0,0.0,0.0,0.0,0.0,0.0,0.5266662597480087,0.0,0.5351470644078054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094648545015139,0.0,0.0,0.0,0.0,0.0,0.5264907811448863,0.5014876363868775,0.6476686889556474,0.5122470289091001,0.5758718747821912,0.0,0.6204833196852604,0.6119314277116013,0.0,0.0,0.5837810823681067,0.5669783794727669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023813279399886,0.0,0.0,0.0,0.0,0.0,0.0,0.5548358796512762,0.5058371124283698,0.5658802419098861,0.0,0.0,0.550575245575785,0.0,0.0,0.0,0.5205612606569817,0.0,0.0,0.0
CNP,0.5104731326318399,0.506522487050357,0.0,0.5070522224613594,0.0,0.0,0.0,0.5953809949628113,0.0,0.5388988778575055,0.5087509365587061,0.0,0.0,0.588391095492547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5463429170716728,0.0,0.5198848660631239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5305604058703833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157803284395562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544569961249129,0.5263802356820714,0.0,0.0,0.5240282255671083,0.5949559687423319,0.644131618143598,0.5368323818150381,0.525596765117651,0.5142525513165906,0.522703980021571,0.5171201902946372,0.5088664975941434,0.0,0.5197465562816314,0.0,0.0,0.0,0.0,0.0,0.5478763175546627,0.5176940860125092,0.0,0.0,0.0,0.0,0.5620050954912194,0.0,0.0,0.0,0.0,0.0,0.0,0.5495597179476566,0.5503985515790859,0.0,0.0,0.5182705601528462,0.0,0.5372673641546813,0.0
PEG,0.5452198863364648,0.5275760914117844,0.0,0.5076344361157935,0.5007590381245055,0.0,0.0,0.0,0.5780639562846572,0.504973899397727,0.5615236215920782,0.5138711129182048,0.0,0.0,0.0,0.0,0.5102141395395922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5021005593572317,0.0,0.5100468558633453,0.5091664010030349,0.0,0.0,0.526675279419368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507459400436345,0.0,0.5535101594642297,0.0,0.5591733826937575,0.0,0.5510438046202684,0.0,0.0,0.5015000600810996,0.5527878817306219,0.5093056663219196,0.0,0.0,0.5905580628021053,0.0,0.0,0.5074885145204471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5907447203850031,0.5153000016836311,0.6199939237671559,0.0,0.5498615465121423,0.0,0.528821599252523,0.0
AEP,0.5009408003263541,0.6132582223353634,0.0,0.5337107150199635,0.0,0.0,0.6090203186728321,0.0,0.0,0.5307211053754155,0.0,0.0,0.0,0.5918736280452466,0.5134441479623169,0.0,0.5420372906193492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000411646309011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184136525922699,0.5251921993945278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5445392942525283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6632731449552105,0.0,0.547775527850853,0.0,0.5885047495402841,0.6007835684748798,0.0,0.0,0.6584557924576717,0.625663141228029,0.0,0.0,0.5418934059800077,0.0,0.0,0.0,0.0,0.0,0.0,0.5710231643224358,0.0,0.0,0.0,0.0,0.0,0.0,0.5401099780901162,0.0,0.5567444087704934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXC,0.0,0.5083142225900843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5021977452134165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5118980810865238,0.0,0.52174617200981,0.0,0.5771247498421821,0.5505840435791558,0.0,0.0,0.5152374065544636,0.516547309261343,0.0,0.0,0.5306171936030446,0.0,0.0,0.0,0.0,0.0,0.5759066523133749,0.5029889323731963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525570210272567,0.0,0.0,0.0
