cluster,size,out_flow,in_flow,leadingness
4,10,430.4613919418531,140.79910481068794,289.66228713116516
7,7,315.9854431349751,86.09370239353443,229.89174074144069
1,10,375.7214208538883,187.09406092408113,188.62735992980714
6,9,291.75803672824844,215.81806441396787,75.93997231428057
3,10,308.82978396515267,252.33285458693015,56.49692937822252
2,10,227.50739192688798,326.31683640562414,-98.80944447873617
9,7,141.5196686583656,246.60701207101638,-105.0873434126508
8,12,274.6191516135702,392.1940225802141,-117.57487096664391
5,14,295.0237043133744,498.6052466705829,-203.5815423572085
0,10,122.46010317928992,438.0251914589667,-315.56508827967673
