Ticker,LULU,LULU,LULU,LULU,LULU,TSLA,TSLA,TSLA,TSLA,TSLA,TGT,TGT,TGT,TGT,TGT,MCD,MCD,MCD,MCD,MCD,SONO,SONO,SONO,SONO,SONO,LOW,LOW,LOW,LOW,LOW,TJX,TJX,TJX,TJX,TJX,SBUX,SBUX,SBUX,SBUX,SBUX,HD,HD,HD,HD,HD,NKE,NKE,NKE,NKE,NKE
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,77.30999755859375,80.2699966430664,77.30999755859375,79.69000244140625,2474400,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,65283000,52.23340562619117,53.959999189111755,52.23340562619117,53.56399154663086,8509000,143.2019174745611,143.82012642377651,142.31994591397694,142.7815399169922,3696900,,,,,,79.90101053856313,80.27895765721007,78.6125616014197,78.6984634399414,6572600,34.30961979956636,34.622092203473834,34.13106268060762,34.233734130859375,6881400,48.35734202570168,48.574301949687225,47.96514168950128,48.09031295776367,7216000,156.61609208486416,157.03601398080073,154.80463473644744,154.82110595703125,4684700,56.35285416611142,56.92669677734375,56.35285416611142,56.92669677734375,6511000
2018-01-03,79.81999969482422,80.23999786376953,78.25,78.58999633789062,1745400,21.399999618530273,21.683332443237305,21.036666870117188,21.149999618530273,67822500,54.356010554407135,54.5223330505288,53.144228052236784,53.199668884277344,6057500,142.78982893593513,143.12778630024624,141.77596942049954,142.17987060546875,3789600,,,,,,78.81012005808688,79.10216531376503,78.31191827128218,79.04203796386719,4572000,33.93464736191794,33.99714524443856,33.40790576745158,33.61771011352539,9258800,48.34064470459599,49.20014418282591,48.232163168054115,48.99152755737305,7478400,154.79640676940969,155.91621106561513,154.64820347443228,155.62802124023438,4530500,56.9177360534668,57.079128774535135,56.27216516919343,56.9177360534668,6091100
2018-01-04,78.61000061035156,80.01000213623047,78.30000305175781,79.8499984741211,1669600,20.857999801635742,21.23666763305664,20.3786678314209,20.974666595458984,149194500,53.24719028311141,53.71447640093608,51.5285125218416,52.154205322265625,7124500,142.79802395988216,143.5316313839036,142.37763383968925,143.17718505859375,2756400,,,,,,79.18806465285616,79.72921078490548,78.66409495449865,79.66049194335938,3542800,33.581995442729905,33.74269306477514,33.153457098299455,33.67127227783203,7599800,49.22517899798774,49.5756533912222,49.00821593082994,49.17510986328125,5775900,156.33613215867447,157.15951729681694,155.1833979908191,156.86309814453125,4047400,56.846019317783266,56.980510998891106,56.083886110095484,56.88188171386719,5780500
2018-01-05,80.0,80.45999908447266,79.18000030517578,79.43000030517578,1592900,21.107999801635742,21.14933204650879,20.799999237060547,21.10533332824707,68868000,52.573970976993216,52.85909695505054,52.233404172235694,52.7086181640625,5549700,143.42451230394911,144.24879111029364,142.9299399891438,143.46572875976562,3737700,,,,,,80.74280782179655,81.4299832756788,80.53665780698819,81.3784408569336,5524200,33.71592063202318,34.46139298247709,33.71592063202318,34.4390754699707,7729000,49.442137647279566,49.80930174291433,49.29193343014787,49.74254608154297,6047700,157.2088969107669,158.53454730456767,156.86307670766996,158.50161743164062,4224800,57.11499308836291,57.65296995128942,56.90876982136419,57.36604690551758,11632300
2018-01-08,81.5,81.91999816894531,77.44000244140625,79.04000091552734,3042500,21.066667556762695,22.468000411987305,21.03333282470703,22.42733383178711,147891000,53.22342965892055,54.110489035521695,52.47101748560006,53.20759201049805,8337200,143.21020362295147,143.5976156661874,142.54252722806868,143.36680603027344,2060800,,,,,,81.06921141583,81.71343593724649,80.45934632196261,80.49370574951172,6191600,34.44798673446755,34.53280209971804,33.62216420748252,33.769474029541016,7883000,49.634075819723094,49.79262333680942,48.86636803184706,49.492218017578125,6335800,157.85940231294379,159.50617261659323,157.76060011516014,158.1228790283203,3508500,57.518477343763564,58.02058499957622,57.366049362283384,57.87712860107422,11905700
2018-01-09,79.0,79.76000213623047,78.73999786376953,79.51000213623047,1482100,22.3439998626709,22.586666107177734,21.82666778564453,22.246000289916992,107199000,55.06089708898201,55.45690471087301,54.25304419906695,54.75993347167969,18160800,143.6140882325669,143.6140882325669,142.60846711536334,143.0453338623047,2674300,,,,,,81.01766779796804,81.53304605510239,80.36485184378982,81.2152328491211,4112200,33.7828727982983,33.94803870306042,33.50164767951298,33.70252227783203,8376400,49.40041392344801,49.6257202444134,49.1166952062957,49.383724212646484,5233400,158.666304928349,159.30031496791966,157.7935187398764,158.99566650390625,3012300,57.59021348252525,58.029557715837086,56.908776724232396,57.46467971801758,8771300
2018-01-10,79.18000030517578,79.44000244140625,78.58000183105469,78.86000061035156,1141500,22.14666748046875,22.46666717529297,22.0,22.31999969482422,64648500,54.97377395692139,56.83500833380368,54.88665180781407,56.01923370361328,10985200,143.01231533201872,143.42445456928678,142.1633095094458,143.0205535888672,2172500,,,,,,81.13791007679163,81.4557297874767,80.61394040551065,80.88880920410156,2778000,33.7203857776506,34.171241764639895,33.568611025150815,34.04624938964844,6656800,50.06800134732404,50.17648290821649,49.11670983104293,49.91779708862305,8656500,158.71572043535284,159.09448314067103,157.8017623964643,157.92527770996094,3119500,57.27639664978762,57.590217401000785,56.88187952487419,57.58124923706055,5010600
2018-01-11,79.29000091552734,79.33000183105469,78.38999938964844,78.98999786376953,913000,22.349332809448242,22.987333297729492,22.21733283996582,22.530000686645508,99682500,56.15388103916327,58.65664602486681,55.83707373851054,58.609127044677734,12186000,143.06178722516947,143.87782754095116,141.8583475510796,142.92166137695312,3078000,,,,,,81.2066397463802,82.27175566381484,80.75138885237145,82.23739624023438,3172600,33.99267514474641,34.37210681152725,33.81411806458688,34.318538665771484,5397800,49.667445816558754,50.0846790611368,49.60903341697679,50.067989349365234,5806300,157.82641506993167,160.3377415828949,157.59586829797342,160.29656982421875,3899200,57.41088427540851,57.661938122385415,57.18672807764996,57.64400863647461,5103500
