,leading_score
NEE,-7.030215460122388
SO,-45.43362400931846
SRE,-5.711695860083498
DUK,-33.21095301791151
XEL,-21.43588711796936
D,-20.66813269673311
CNP,-22.85496790048941
PEG,-26.717390888750842
AEP,-33.565593819688374
EXC,-42.81234085017678
COST,-31.286198981536664
PEP,-9.864556587704566
CL,-20.986643802365077
HSY,-36.07289804903183
MKC,-20.482144546891647
PG,-9.718275957461255
KO,13.232898328463374
KMB,3.2431339833503507
GIS,6.062280538804558
WMT,-5.39450958752699
AXP,17.36521026401342
GS,31.35807807941142
JPM,27.67747290992889
MS,27.0334110225596
BAC,38.916787648106016
V,-23.800728666946497
BLK,-5.037714139554851
BRK-A,7.908776785422834
MA,6.871509670098824
C,44.38148344342005
HON,29.601275012302697
CAT,45.36319681451944
UNP,23.35486603290834
GE,7.4344631722337375
ITW,1.316724802348741
LMT,-3.0119906159966767
RTX,-29.285155073200187
MMM,26.920669663555415
FDX,11.624175612030683
BA,23.582343433642368
ADBE,-20.62180125922784
INTC,11.724395976582997
AMD,29.039257549637234
AAPL,8.739464838432028
PYPL,-8.391980224601902
MSFT,-31.205087840458294
GOOG,4.430089233049479
TXN,-16.19283293347459
ORCL,7.658354897122443
NVDA,-22.343719806789323
FANG,26.405744431583905
EOG,51.64633407404048
LNG,29.564984007667118
OXY,49.62177344882208
HAL,41.527743022106065
SLB,35.53224457259249
COP,11.668237884936001
DVN,33.93123978027294
XOM,-39.366188658497705
CVX,-33.772986818437516
AMT,-35.8931526686917
PLD,-40.82568570350808
EQIX,-11.459723081562707
SPG,13.407851551648573
O,-43.052311659108916
AVB,-40.33685978971387
WELL,10.786618381956742
VICI,-16.3010191696297
DLR,-29.443573077915577
EQR,-36.93670187135278
CHTR,1.9645844918438726
T,22.30634615091829
NFLX,2.635581181262875
META,-1.715471669705913
TMUS,0.5634774577059787
CMCSA,-6.650403341472735
VZ,14.708195728145714
DIS,28.97784276750363
FOXA,-15.534535922076778
UNH,-29.7666929789767
PFE,-0.6479878323160762
GILD,49.392417376871904
ABBV,34.88216355877593
ISRG,19.804010604441626
HCA,8.24558079082129
LLY,23.578508816837843
MRK,7.157944585379045
AMGN,6.483509404345618
JNJ,-25.630924478109982
LULU,31.41089318221974
TSLA,10.216603755471652
TGT,-29.889507225332512
MCD,-8.412653052134043
SONO,33.84128083366949
LOW,-6.607932451048427
TJX,-8.943208021981341
SBUX,-19.413184062623174
HD,-29.911471815875576
NKE,8.547183490297815
