source,target,weight
TSLA,AEP,0.8307697508659249
SONO,LOW,0.8105888082543066
AMD,PLD,0.8031636211259068
EOG,LOW,0.7995266663439505
GILD,AEP,0.7979701300711978
MMM,PLD,0.7872929935596857
GILD,LMT,0.7863811624609287
GILD,AMGN,0.783655849560985
HCA,TGT,0.7832078446302331
CAT,PYPL,0.7827151620908145
GILD,XEL,0.7816462559264815
LLY,XOM,0.7804389562246199
SONO,PLD,0.7802219805704959
SONO,LNG,0.7683150912579398
EOG,XOM,0.7668080221495854
DIS,HD,0.7656339195397307
C,SBUX,0.7656327804338009
GILD,CMCSA,0.7651215183017646
VZ,ORCL,0.7636435222158511
DIS,PLD,0.7618245690680431
GILD,PG,0.7615552930460106
WMT,NVDA,0.7607397714505412
GILD,DUK,0.7607158566418408
LNG,EOG,0.760220353096355
CHTR,PLD,0.7573749452503741
PYPL,CHTR,0.7572341929833617
MMM,XEL,0.7561007509422218
DIS,EQIX,0.7554584097854574
EOG,D,0.7544461086945976
ABBV,PFE,0.7541841447906872
NKE,NEE,0.7512964354340181
META,PYPL,0.7512424205276411
C,WMT,0.7501947779162779
OXY,VICI,0.7482897998882522
NKE,HD,0.7482880336990932
GILD,MRK,0.7479704922043235
C,TGT,0.7460391948606829
SONO,COP,0.7457785701163654
TMUS,FOXA,0.7446512678995674
EOG,HD,0.7433082393185144
DIS,WMT,0.7430871333984762
SONO,TMUS,0.7429880903654996
AMD,PYPL,0.7426269063318885
ISRG,COST,0.7421358704227763
NKE,KMB,0.7418383240953338
DVN,HD,0.741406886055966
HON,SBUX,0.7410938342572737
PFE,HSY,0.740843192848513
EOG,SBUX,0.740812210008082
FOXA,RTX,0.7407947701792823
TGT,VZ,0.7407679882756107
DIS,LOW,0.7397646212924479
HAL,LOW,0.739747438914628
LNG,SLB,0.7396518288323105
SONO,T,0.7387270874460196
ABBV,META,0.7381540698318425
GILD,WMT,0.7378297376256744
PYPL,PLD,0.7374189486836253
